1.26E+17,Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is,positive,apple
,,,
1.26E+17,Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY,positive,apple
,,,
1.26E+17,@RIM you made it too easy for me to switch to @Apple iPhone. See ya!,positive,apple
,,,
1.26E+17,The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace,positive,apple
,,,
1.26E+17,Great up close & personal event @Apple tonight in Regent St store!,positive,apple
,,,
1.26E+17,From which companies do you experience the best customer service aside from @zappos and @apple?,positive,apple
,,,
1.26E+17,Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol,positive,apple
,,,
1.26E+17,"RT @PhillipRowntree: Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!",positive,apple
,,,
1.26E+17,Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple,positive,apple
,,,
1.26E+17,"Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!",positive,apple
,,,
1.26E+17,"Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today, out of warranty.",positive,apple
,,,
1.26E+17,@DailyDealChat @apple Thanks!!,positive,apple
,,,
1.26E+17,iPads Replace Bound Playbooks on Some N.F.L. Teams http://t.co/2UXAWKwf @apple @nytimes,positive,apple
,,,
1.26E+17,@apple @siri is efffing amazing!!,positive,apple
,,,
1.26E+17,"RT @TripLingo: We're one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z",positive,apple
,,,
1.26E+17,"We're one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z",positive,apple
,,,
1.26E+17,We did an unexpected workshop for the #iPhone4S at @apple yesterday and we got an awesome amount of info #notjustaboutthephone @gamerchik16,positive,apple
,,,
1.26E+17,---» RT @Apple No question bro. RT @AintEeenTrippin: Should I get dis iPhone or a EVO 3D?,positive,apple
,,,
1.26E+17,@Twitter CEO points to @Apple as 'corporate mentor' as @iOS signups triple http://t.co/GCY8iphN,positive,apple
,,,
1.26E+17,At the bus with my iPhone ;) thxx @apple,positive,apple
,,,
1.26E+17,#NAME?,positive,apple
,,,
1.26E+17,NYTimes: Coach Wants to See You. And Bring Your iPad. http://t.co/J2FTiEnG #iPad @apple set red 42 red 42 hut hut @NFL wish I had an #iPad,positive,apple
,,,
1.26E+17,@apple @jilive @DanielPink: Apple sells 4 million iPhone 4S units in first weekend ... Steve Jobs brilliance lives on for ever! #iphone #RVA,positive,apple
,,,
1.26E+17,@bkad5161 than apologize to @apple ;),positive,apple
,,,
1.26E+17,"Lmfao look at the argument I had with Siri !!
@ijustine @apple http://t.co/D4VjL7SI",positive,apple
,,,
1.26E+17,Incredible: 4 million iPhone 4Ss in 3 days. 135% better than the iPhone 4 http://t.co/1FMJxTMM @apple #iphone4s,positive,apple
,,,
1.26E+17,Well @apple fixed my #ios5 battery drain problem with a replacement iPhone 4 -- it's working like a champ now,positive,apple
,,,
1.26E+17,Currently ordering a BRAND NEW MACBOOK PRO!!! Bahhh... my MacBook is 5 years old. I'll miss it. But it's time. cc: @Apple -,positive,apple
,,,
1.26E+17,"#Siri now knows who my dad, mom, brother and girlfriend is.  Thanks @apple",positive,apple
,,,
1.26E+17,Well at least the @apple store has amazing call waiting music! #need4s,positive,apple
,,,
1.26E+17,#sweet... #apple replaced my glass #probono. thank you @apple,positive,apple
,,,
1.26E+17,Not Bad! @Apple Sells Over 4 Million #IPhones in Debut Weekend - Bloomberg http://t.co/AVSl3ygU - #smartphone #sm RT @VinodRad,positive,apple
,,,
1.26E+17,"loving new technology from @apple iPhone 4s, mac air and iCloud are unreal #technology",positive,apple
,,,
1.26E+17,I'm loving this new IOS5 update :) @apple,positive,apple
,,,
1.26E+17,Another mention for Apple Store: http://t.co/fiIOApKt - RT @floridamike Once again getting great customer service from the @apple store ...,positive,apple
,,,
1.26E+17,Time to go get my iPhone 4s.  Looking forward to sticking it to the man by no longer paying for most texts.  Thanks @apple.,positive,apple
,,,
1.26E+17,hey @apple I hate my computer i need a #mack wanna send me a free one.,positive,apple
,,,
